year,device,count,Decade
1963,CROSSED,2,1960
1963,MESH,1,1960
1963,BACKGROUND,1,1960
1963,MEN,1,1960
1963,SCOTSMEN,1,1960
1963,UMBRELLA,1,1960
1963,TARGET,1,1960
1963,TIARA,1,1960
1963,ELLIPSES,1,1960
1963,CONVEX,1,1960
1963,SIDES,1,1960
1963,PROJECTION,1,1960
1963,HUMAN,1,1960
1963,MACHINE,1,1960
1963,WASHING,1,1960
1963,CROWNS,1,1960
1963,SHIELDS,1,1960
1963,HORSES,1,1960
1963,GRAIN,1,1960
1963,EARS,1,1960
1963,WOODGRAIN,1,1960
1963,OLD,1,1960
1963,SKULLCAP,1,1960
1963,SHOULDERS,1,1960
1963,CHEF,1,1960
1963,LOOPED,5,1960
1963,CHARACTER,1,1960
1963,SIGMA,1,1960
1963,FURNACE,1,1960
1963,HOUSES,2,1960
1963,FRUIT,1,1960
1963,ORANGE,1,1960
1963,LEMON,1,1960
1963,CHERRY,1,1960
1963,ROO,1,1960
1963,INVERTED,1,1960
1963,SNOWMAN,1,1960
1963,ANVIL,1,1960
1963,CROSS-SECTION,1,1960
1963,GIRDER,1,1960
1963,MUSHROOM,1,1960
1963,COMPASS,1,1960
1963,EAGLE,3,1960
1963,DOUBLE-HEADEDWINGS,1,1960
1963,BERRIES,1,1960
1963,BREAKS,2,1960
1963,STRIPED,2,1960
1963,RECT,1,1960
1963,BELOW,1,1960
1963,GIRL,1,1960
1963,HORN,1,1960
1963,TRUMPET,1,1960
1963,CARNATION,2,1960
1963,COWBOYS,1,1960
1963,DRAPES,1,1960
1963,QUEEN,1,1960
1963,LINES,6,1960
1963,MILKMAID,1,1960
1963,ATOMIC-ORBITS,1,1960
1963,PYRAMID,1,1960
1963,DRAGON,1,1960
1963,GRIFFIN,1,1960
1963,ROOF,4,1960
1963,PATTERN,1,1960
1963,CRISS-CROSS,1,1960
1963,TAG,1,1960
1963,PIRATE,1,1960
1963,QUAKER,1,1960
1963,FISH,1,1960
1963,FOOD,1,1960
1963,TASMANIA,1,1960
1963,WHEEL,4,1960
1963,PADDLE,1,1960
1963,TREES,1,1960
1963,PINE,1,1960
1963,TRAPEZIUM,3,1960
1963,SYMBOL,4,1960
1963,PUNCTUATION,3,1960
1963,EXCLAMATION,3,1960
1963,MARK,3,1960
1963,MORTAR,3,1960
1963,PESTLE,3,1960
1963,NOTCHED-SIDES,1,1960
1963,SCENE,1,1960
1963,MOUNTAINS,1,1960
1963,RIDING,1,1960
1963,SURFBOARD,1,1960
1963,WAVE,1,1960
1963,AEROPLANE,1,1960
1963,BED,1,1960
1963,TOUCAN,1,1960
1963,HAT,1,1960
1963,PARTY,1,1960
1963,FOUR,4,1960
1963,SHORT,1,1960
1963,WING,1,1960
1963,FROM,1,1960
1963,S,1,1960
1963,PANDA,1,1960
1963,BALL,1,1960
