UID,lat,lon,applicant_type,application_year
482,-37.759998,145.104,Private applicant,2006
483,-16.990999,145.422,Private applicant,2005
484,-37.987,145.203,SME,2006
485,-27.579,153.09599,SME,2005
486,-27.393,153.071,SME,2005
487,-27.743999,153.035,SME,2005
488,-27.579,153.09599,SME,2005
489,-33.758999,150.895,SME,2005
490,-36.362999,146.298,SME,2003
491,-34.018002,151.07899,Private applicant,2003
492,-34.915001,138.629,SME,2003
493,-34.82,138.60001,SME,2003
494,-32.056,115.821,Private applicant,2003
495,-38.216999,145.07899,Private applicant,2003
496,-33.77,150.68401,SME,2003
497,-19.297001,146.769,Private applicant,2003
498,-19.261999,146.812,Large firm,2003
499,-27.541,152.989,SME,2003
500,-27.752001,153.19299,SME,2003
501,-33.851002,151.18201,Private applicant,2003
502,-32.833,151.349,Private applicant,2003
503,-33.992001,150.673,Private applicant,2003
504,-34.877998,138.517,SME,2003
505,-27.988001,153.39,Private applicant,2003
506,-23.143,150.763,Private applicant,2003
507,-27.52,152.939,Private applicant,2003
508,-27.721001,153.00301,Private applicant,2003
509,-33.804001,151.04401,Private applicant,2003
510,-33.794998,151.179,SME,2003
511,-35.278999,149.146,Large firm,2005
512,-35.278999,149.146,Large firm,2006
513,-33.700001,151.028,Private applicant,2005
514,-37.449001,144.685,SME,2005
515,-34.911999,138.571,SME,2005
516,-16.893999,145.728,SME,2005
517,-16.893999,145.728,Private applicant,2005
518,-27.462,153.064,Private applicant,2005
519,-31.948,115.829,SME,2005
520,-33.776001,151.12199,Large firm,2005
521,-37.811001,144.967,SME,2005
522,-37.820999,144.92101,SME,2005
523,-37.880001,145.024,SME,2005
524,-37.845001,144.89101,SME,2005
525,-33.796001,151.179,SME,2006
526,-33.877998,151.214,SME,2005
527,-37.808998,144.952,SME,2005
528,-37.831001,144.99699,SME,2003
529,-31.746,115.828,SME,2003
530,-37.938,145.123,Private applicant,2003
531,-37.811001,145.01401,SME,2003
532,-37.172001,144.146,Private applicant,2003
533,-37.813,144.998,SME,2003
534,-27.452,153.05901,SME,2003
535,-37.867001,145.10899,Private applicant,2003
536,-19.573999,147.409,Private applicant,2003
537,-19.573999,147.409,Private applicant,2003
538,-19.573999,147.409,Private applicant,2003
539,-33.773998,151.008,SME,2005
540,-33.794998,151.179,SME,2003
541,-34.037998,151.13499,Large firm,2003
542,-31.99,115.958,Private applicant,2003
543,-31.99,115.958,Private applicant,2003
544,-31.99,115.958,Private applicant,2003
545,-33.733002,150.964,SME,2003
546,-27.433001,153.063,Private applicant,2003
547,-37.695999,145.11501,Private applicant,2003
548,-27.461,153.10899,SME,2003
549,-33.786999,151.12601,SME,2003
550,-37.639999,144.95799,SME,2003
551,-33.786999,151.12601,SME,2003
552,-37.919998,144.995,Private applicant,2003
553,-37.736,144.897,SME,2003
554,-37.813999,144.97,SME,2003
555,-37.823002,144.925,SME,2003
556,-33.903,151.211,Large firm,2003
557,-33.866001,151.20799,Large firm,2003
558,-33.800999,151.05299,Private applicant,2003
559,-27.591999,152.825,SME,2003
560,-33.834999,121.912,SME,2004
561,-33.808998,151.231,SME,2005
562,-37.724998,145.056,SME,2005
563,-35.306999,149.13699,Large firm,2005
564,-37.799999,144.856,SME,2005
565,-37.811001,144.967,SME,2005
566,-37.811001,144.967,SME,2005
567,-37.811001,144.967,SME,2005
568,-37.84,144.976,SME,2005
569,-27.535999,152.922,Large firm,2005
570,-33.889,151.187,SME,2005
571,-33.785,151.19501,SME,2005
572,-33.766998,151.26199,SME,2005
573,-33.867001,151.21201,SME,2005
574,-27.576,153.088,SME,2005
575,-38.330002,141.59399,Private applicant,2003
576,-27.576,153.088,SME,2005
577,-27.576,153.088,SME,2004
578,-37.937,145.119,SME,2005
579,-27.462999,153.03,SME,2005
580,-33.82,150.683,Private applicant,2005
581,-33.501999,151.332,SME,2005
582,-33.835999,151.20799,SME,2005
583,-34.923,138.54401,SME,2005
584,-34.923,138.54401,SME,2005
585,-37.866001,145.252,SME,2005
586,-33.817001,151.022,SME,2005
587,-33.671001,151.30499,SME,2005
588,-33.867001,151.20799,SME,2005
589,-33.948002,150.854,Private applicant,2003
590,-19.306,146.783,Private applicant,2005
591,-19.261,146.81599,SME,2005
592,-33.896,151.196,Large firm,2005
593,-32.09,115.881,SME,2005
594,-33.353001,151.375,SME,2005
595,-33.665001,150.86099,Private applicant,2005
596,-33.803001,150.98801,SME,2005
597,-33.919998,151.228,Large firm,2005
598,-34.816002,138.625,SME,2004
599,-34.838001,138.53799,SME,2005
600,-33.870998,150.959,SME,2005
601,-33.766998,150.963,Large firm,2005
602,-37.915001,145.158,SME,2005
603,-31.972,116.058,SME,2005
604,-35.278999,149.146,Large firm,2005
605,-37.710999,144.87,SME,2005
606,-37.608002,144.94501,SME,2005
607,-33.817001,151.022,SME,2005
608,-27.5,153.005,SME,2005
609,-33.981998,151.14,SME,2005
610,-27.606001,151.92599,SME,2005
611,-27.582001,151.939,SME,2005
612,-33.862999,151.21001,SME,2005
613,-27.452999,153.03,SME,2005
614,-27.989,153.377,Private applicant,2005
615,-27.989,153.377,Private applicant,2005
616,-33.667999,150.858,Private applicant,2005
617,-34.016998,151.10699,SME,2006
618,-33.918999,150.966,Private applicant,2006
619,-34.016998,151.10699,SME,2006
620,-34.016998,151.10699,SME,2006
621,-37.808998,145.009,SME,2005
622,-33.845001,151.07401,Large firm,2005
623,-37.799,144.97701,Private applicant,2005
624,-32.013,115.85,SME,2005
625,-37.903,145.222,SME,2005
626,-33.757999,151.08,Private applicant,2005
627,-33.813999,151.179,SME,2005
628,-35.152,138.46899,Private applicant,2005
629,-33.825001,151.242,SME,2005
630,-31.75,115.774,Large firm,2005
631,-35.278999,149.146,Large firm,2005
632,-33.790001,151.131,SME,2005
633,-34.182999,150.61099,SME,2005
634,-27.448999,153.02699,SME,2005
635,-33.863998,151.205,SME,2005
636,-33.764,150.728,Large firm,2005
637,-35.278999,149.146,Large firm,2005
638,-33.866001,151.21001,Large firm,2005
639,-33.814999,151.00301,SME,2005
640,-33.752998,151.24699,SME,2005
641,-37.782001,145.36501,Private applicant,2006
642,-38.185001,144.367,SME,2005
643,-37.887001,145.08,Large firm,2005
644,-37.810001,144.97,SME,2005
645,-37.764999,145.15199,SME,2005
646,-27.577999,153.10001,SME,2005
647,-34.939999,138.621,SME,2005
648,-37.817001,144.993,Private applicant,2005
649,-37.915001,144.66299,SME,2005
650,-27.478001,153.02901,Large firm,2005
651,-33.919998,151.22701,Large firm,2006
652,-38.098,145.159,SME,2005
653,-27.451,153.04201,SME,2005
654,-28.011,153.407,SME,2005
655,-31.950001,115.841,Large firm,2005
656,-35.409,149.10699,Private applicant,2005
657,-31.954,115.856,SME,2005
658,-37.915001,145.13499,SME,2005
659,-27.617001,153.127,SME,2005
660,-33.789001,151.12801,SME,2005
661,-35.278999,149.146,Large firm,2005
662,-35.278999,149.146,SME,2005
663,-37.915001,145.158,SME,2005
664,-33.896999,151.19501,Large firm,2005
665,-34.008999,151.10001,Private applicant,2004
666,-31.987,115.785,Private applicant,2004
667,-33.933998,151.101,Private applicant,2005
668,-33.787998,151.091,Private applicant,2005
669,-31.944,115.853,SME,2005
670,-23.503,148.17799,Private applicant,2005
671,-23.503,148.17799,Private applicant,2005
672,-33.862999,151.211,SME,2005
673,-37.799999,144.856,SME,2005
674,-37.818001,144.959,Large firm,2005
675,-31.990999,115.885,SME,2005
676,-27.542999,153.095,Private applicant,2005
677,-37.796001,144.951,SME,2005
678,-28.822001,153.28999,SME,2005
679,-31.968,115.817,SME,2005
680,-33.919998,151.228,SME,2005
681,-37.807999,145.028,SME,2005
682,-33.84,151.105,Large firm,2005
683,-37.831001,144.951,Large firm,2005
